date,predict,trend,seasonal
1955-12-01,269.79,299.95,-30.16
1956-01-01,278.45,303.09,-24.64
1956-02-01,271.37,306.22,-34.85
1956-03-01,306.87,309.15,-2.29
1956-04-01,308.49,312.29,-3.8
1956-05-01,310.89,315.33,-4.43
1956-06-01,354.0,318.46,35.54
1956-07-01,392.4,321.5,70.9
1956-08-01,393.28,324.63,68.65
1956-09-01,343.96,327.77,16.2
1956-10-01,309.5,330.8,-21.31
1956-11-01,274.57,333.94,-59.37
1956-12-01,303.7,336.97,-33.27
1957-01-01,319.06,340.11,-21.05
1957-02-01,313.56,343.24,-29.69
1957-03-01,345.63,346.08,-0.45
1957-04-01,344.44,349.21,-4.77
1957-05-01,348.71,352.25,-3.53
1957-06-01,389.94,355.38,34.56
1957-07-01,429.47,358.42,71.06
1957-08-01,429.9,361.55,68.35
1957-09-01,381.31,364.69,16.62
1957-10-01,346.21,367.72,-21.51
1957-11-01,312.33,370.86,-58.52
1957-12-01,341.69,373.89,-32.2
1958-01-01,354.82,377.03,-22.21
1958-02-01,348.72,380.16,-31.44
1958-03-01,384.39,383.0,1.4
1958-04-01,380.38,386.13,-5.75
1958-05-01,386.54,389.17,-2.63
1958-06-01,425.87,392.3,33.57
1958-07-01,466.54,395.34,71.21
1958-08-01,466.51,398.47,68.04
1958-09-01,418.65,401.61,17.05
1958-10-01,382.94,404.64,-21.7
1958-11-01,350.13,407.78,-57.65
1958-12-01,379.65,410.81,-31.16
1959-01-01,390.55,413.95,-23.4
1959-02-01,383.92,417.09,-33.17
1959-03-01,423.16,419.92,3.24
1959-04-01,416.31,423.05,-6.74
1959-05-01,424.36,426.09,-1.73
1959-06-01,461.79,429.22,32.57
1959-07-01,503.61,432.26,71.35
1959-08-01,503.11,435.39,67.72
1959-09-01,456.01,438.53,17.48
1959-10-01,419.69,441.56,-21.88
1959-11-01,387.94,444.7,-56.76
1959-12-01,417.58,447.73,-30.16
1960-01-01,426.23,450.87,-24.64
1960-02-01,419.15,454.01,-34.85
1960-03-01,454.65,456.94,-2.29
1960-04-01,456.28,460.08,-3.8
1960-05-01,458.68,463.11,-4.43
1960-06-01,501.79,466.25,35.54
1960-07-01,540.18,469.28,70.9
1960-08-01,541.07,472.42,68.65
1960-09-01,491.75,475.55,16.2
1960-10-01,457.28,478.59,-21.31
1960-11-01,422.36,481.72,-59.37
1960-12-01,451.48,484.76,-33.27
1960-12-01,461.88,487.79,-25.91
1961-01-01,454.43,490.93,-36.5
1961-02-01,500.7,493.76,6.94
1961-03-01,488.16,496.9,-8.73
1961-04-01,500.01,499.93,0.08
1961-05-01,533.59,503.07,30.52
1961-06-01,577.71,506.1,71.61
1961-07-01,576.3,509.24,67.06
1961-08-01,530.75,512.37,18.38
1961-09-01,493.24,515.41,-22.17
1961-10-01,463.65,518.54,-54.89
1961-11-01,493.3,521.58,-28.28
1961-12-01,497.49,524.71,-27.22
1962-01-01,489.74,527.85,-38.1
1962-02-01,539.47,530.68,8.79
1962-03-01,524.08,533.82,-9.74
1962-04-01,537.83,536.85,0.98
1962-05-01,569.47,539.99,29.48
1962-06-01,614.75,543.02,71.73
1962-07-01,612.88,546.16,66.73
